Depth_in_core	Age_BP	Sr/Ca	Sr/Ca_200	Sr/Ca_SE	Sr/Ca_T	d18O	d18O_200	d18O_SE	d18Osw	d18Osw_200	d18Osw_SE	Ba/Ca	Ba/Ca_200	Ba/Ca_SE	d13C	d13C_200	d13C_SE	B/Ca	B/Ca_200	B/Ca_SE
160	4720.2	8.81	8.98	0.09	24.69	-5.82	-5.57	0.29	-1.44	-1.06	0.46	4.39	3.94	0.5	-2.84	-2.8	0.26	2.3	1.74	0.26
161	4727.4	8.98	9.02	0.09	24.07	-5.88	-5.59	0.26	-1.27	-0.98	0.48	3.68	4.06	0.47	-3.72	-2.76	0.23	1.54	1.69	0.25
163	4741.6	9.16	9.04	0.11	23.78	-5.37	-5.73	0.28	-2.52	-0.93	0.57	4.49	4.11	0.55	-2.18	-2.8	0.26	1.33	1.74	0.28
165	4755.9	8.67	9.08	0.1	23.15	-6.26	-5.75	0.26	-0.18	-1.09	0.54	1.23	4.12	0.49	-3.45	-2.71	0.25	3.04	1.73	0.26
170	4791.6	9.4	9.11	0.07	22.59	-6.08	-5.64	0.21	-3.37	-2.01	0.45	4	4.18	0.33	-2.66	-2.63	0.24	1.22	1.61	0.2
171	4798.7	8.57	9.09	0.07	22.94	-6.5	-5.67	0.2	-0.49	-1.98	0.4	3	4.19	0.3	-3.73	-2.51	0.23	2.25	1.61	0.19
175	4827.2	9.4	9.07	0.06	23.22	-5.09	-5.57	0.19	-2.53	-1.92	0.35	5.32	4.24	0.29	-2.93	-2.49	0.21	1.15	1.7	0.18
175	4827.2	NA	NA	NA	NA	-6.25	-5.57	0.19	1.31	NA	NA	NA	NA	NA	-2.21	-2.49	0.21	NA	NA	NA
178	4848.6	9.43	9.07	0.06	23.21	-5.9	-5.57	0.2	-2.73	-1.93	0.38	4.26	4.25	0.31	-1.87	-2.45	0.22	1.62	1.72	0.2
180	4862.9	9.06	9.09	0.06	22.85	-4.89	-5.53	0.21	-2.26	-2.02	0.39	4.04	4.42	0.27	-1.69	-2.39	0.22	1.4	1.65	0.19
181	4870	9.32	9.09	0.06	22.85	-5.39	-5.53	0.21	-3.86	-2.02	0.39	4.5	4.42	0.27	-4.33	-2.39	0.22	1.34	1.65	0.19
186	4881.5	9.01	9.09	0.06	22.85	-5.97	-5.53	0.21	-2.87	-2.02	0.39	3.84	4.42	0.27	-1.53	-2.39	0.22	1.99	1.65	0.19
186	4881.5	9.2	9.09	0.06	22.85	-4.98	-5.53	0.21	-2.42	-2.02	0.39	5.12	4.42	0.27	-2.92	-2.39	0.22	1.12	1.65	0.19
188	4886	9.26	9.09	0.06	22.85	-4.92	-5.53	0.21	-3.77	-2.02	0.39	4.55	4.42	0.27	-1.58	-2.39	0.22	1.35	1.65	0.19
189	4888.3	9.2	9.09	0.06	22.85	-5.62	-5.53	0.21	-4.12	-2.02	0.39	6.05	4.42	0.27	-2.04	-2.39	0.22	1.22	1.65	0.19
191	4892.9	8.85	9.08	0.07	23.15	-5.81	-5.5	0.21	-1.69	-1.94	0.4	4.01	4.45	0.29	-1.67	-2.38	0.23	1.18	1.68	0.2
193	4897.5	9.01	9.08	0.07	23.15	-6.12	-5.5	0.21	-1.87	-1.94	0.4	4.52	4.45	0.29	-1.51	-2.38	0.23	2.12	1.68	0.2
194	4899.8	8.68	9.11	0.06	22.63	-4.66	-5.44	0.21	0.48	-2.03	0.42	3.71	4.54	0.29	-3.03	-2.3	0.23	2.56	1.64	0.2
197	4906.7	9.07	9.11	0.06	22.63	-4.82	-5.44	0.21	-0.46	-2.03	0.42	2.39	4.54	0.29	-2.39	-2.3	0.23	2.97	1.64	0.2
199	4911.2	9.09	9.11	0.06	22.63	-4.59	-5.44	0.21	-0.75	-2.03	0.42	5.33	4.54	0.29	-1.66	-2.3	0.23	1.25	1.64	0.2
201	4915.8	9.14	9.11	0.06	22.63	-5.87	-5.44	0.21	-2.64	-2.03	0.42	5.96	4.54	0.29	-2.21	-2.3	0.23	1.37	1.64	0.2
204	4922.7	8.76	9.11	0.06	22.63	-5.56	-5.44	0.21	-0.98	-2.03	0.42	3.88	4.54	0.29	-2	-2.3	0.23	2.43	1.64	0.2
204	4922.7	9.26	9.11	0.06	22.63	-6.11	-5.44	0.21	-3.31	-2.03	0.42	5.13	4.54	0.29	-3.5	-2.3	0.23	1.17	1.64	0.2
209	5096.2	9.16	9.32	0.09	19.19	-5.56	-5.19	0.35	-2.67	-2.54	0.9	5.34	5.41	0.68	-2.54	-2.85	0.27	1.85	1.81	0.25
213	5098.7	9.26	9.32	0.09	19.19	-5.7	-5.19	0.35	-2.95	-2.54	0.9	7.98	5.41	0.68	-2.83	-2.85	0.27	1.71	1.81	0.25
217	5101.2	9.28	9.32	0.09	19.19	-5.65	-5.19	0.35	-3.5	-2.54	0.9	4.63	5.41	0.68	-2.03	-2.85	0.27	1.64	1.81	0.25
220	5103.1	9.37	9.32	0.09	19.19	-5.29	-5.19	0.35	-3.62	-2.54	0.9	5.33	5.41	0.68	-3.66	-2.85	0.27	1.65	1.81	0.25
221	5103.8	9.44	9.32	0.09	19.19	-4.42	-5.19	0.35	-0.9	-2.54	0.9	4.86	5.41	0.68	-2.85	-2.85	0.27	1.92	1.81	0.25
221	5103.8	9.02	9.32	0.09	19.19	-5.62	-5.19	0.35	-5.67	-2.54	0.9	2.76	5.41	0.68	-2.77	-2.85	0.27	2.53	1.81	0.25
230	5109.5	9.69	9.32	0.09	19.19	-4.11	-5.19	0.35	1.55	-2.54	0.9	6.96	5.41	0.68	-3.27	-2.85	0.27	1.35	1.81	0.25
245	6186.6	9.22	NA	NA	NA	-6.18	NA	NA	-2.94	NA	NA	6.91	NA	NA	-2.91	NA	NA	1.24	NA	NA
245	6186.6	8.73	NA	NA	NA	-5.6	NA	NA	-2.29	NA	NA	2.63	NA	NA	-2.73	NA	NA	3.79	NA	NA
247	6330.2	9.37	NA	NA	NA	-5.47	NA	NA	-2.98	NA	NA	5.02	NA	NA	-2.82	NA	NA	2.38	NA	NA
250	6545.6	9.22	NA	NA	NA	-5.73	NA	NA	-3.31	NA	NA	6.89	NA	NA	-3.26	NA	NA	1.45	NA	NA
250	6545.6	9.33	NA	NA	NA	-4.75	NA	NA	-1.47	NA	NA	5.36	NA	NA	-2.08	NA	NA	2.82	NA	NA
250	6545.6	9.11	NA	NA	NA	-5.45	NA	NA	-1.52	NA	NA	4.92	NA	NA	-2.61	NA	NA	1.6	NA	NA
251	6617.4	8.88	NA	NA	NA	-6.18	NA	NA	-2.98	NA	NA	6.34	NA	NA	-3.46	NA	NA	2.34	NA	NA
253	6761	9.21	NA	NA	NA	-5.8	NA	NA	-4.6	NA	NA	7.91	NA	NA	-2.51	NA	NA	1.52	NA	NA
255	6904.7	9.51	NA	NA	NA	-5.59	NA	NA	-2.35	NA	NA	4.83	NA	NA	-2.37	NA	NA	1.57	NA	NA
261	7335.5	9.14	NA	NA	NA	-6.46	NA	NA	-3.2	NA	NA	5.91	NA	NA	-2.43	NA	NA	1.72	NA	NA
263	7479.1	9.21	NA	NA	NA	-5.34	NA	NA	-2.23	NA	NA	5.29	NA	NA	-2.54	NA	NA	2.04	NA	NA
263	7479.1	9.23	NA	NA	NA	-5.55	NA	NA	-2.44	NA	NA	6.3	NA	NA	-3.95	NA	NA	2.47	NA	NA
268	7838.2	9.23	NA	NA	NA	-5.82	NA	NA	-2.28	NA	NA	6.95	NA	NA	-2.72	NA	NA	1.5	NA	NA
