year	SST_NINO3.4_RECONSTRUTED
1698	0.5025465785
1699	-0.163988883
1700	0.3417569176
1701	0.2450400198
1702	-0.4611483748
1703	-0.1769753141
1704	-0.2064981392
1705	-0.5454463363
1706	-0.2657611968
1707	0.3050392911
1708	0.1257784997
1709	0.002970769614
1710	1.256828962
1711	0.4900411325
1712	0.531636638
1713	0.9679201564
1714	0.1861421636
1715	0.3327573458
1716	0.5311046094
1717	0.3300907727
1718	-0.4696348576
1719	0.8938634954
1720	0.2231808667
1721	0.7154327941
1722	0.363716151
1723	0.8870858134
1724	-0.3773579255
1725	0.6121296963
1726	-0.6229488693
1727	0.585682386
1728	0.5941323685
1729	0.8854160979
1730	-0.6121812327
1731	-0.7084134408
1732	-0.2533769208
1733	-0.4432108685
1734	0.1559004434
1735	-0.4733887615
1736	-0.1697568435
1737	-0.160562845
1738	-0.06535530754
1739	-0.08581737201
1740	-0.3202405564
1741	0.644654708
1742	0.0524655886
1743	-1.083037124
1744	-0.2366678046
1745	-0.5844069036
1746	0.02709035947
1747	0.09052169631
1748	-0.2593879661
1749	0.7865957916
1750	0.4209470477
1751	-0.1363779937
1752	-0.353423419
1753	-1.182297042
1754	-0.8165692129
1755	-0.1849181788
1756	-0.7464826629
1757	-0.9758854334
1758	-0.5220369571
1759	-0.2428566505
1760	-0.1727260723
1761	-0.4221032912
1762	-0.3144057682
1763	-0.4412318972
1764	0.03278072948
1765	-0.2280865556
1766	0.3150959318
1767	-0.2005759608
1768	-0.4842573703
1769	-0.2659640562
1770	0.7906488981
1771	-0.1512473755
1772	-0.6464942169
1773	-0.1546333063
1774	-0.6156058858
1775	-0.7193655065
1776	0.9539455655
1777	0.1272142549
1778	-0.7370946259
1779	0.3282733339
1780	-0.1534781481
1781	-0.4805257473
1782	0.4792352588
1783	0.1457498981
1784	-0.2121294972
1785	-0.466633251
1786	-0.5060135659
1787	0.1273169447
1788	-0.6029422263
1789	0.0451694293
1790	0.003140652313
1791	0.5632428463
1792	1.309604393
1793	0.4147220284
1794	0.2008012054
1795	0.7249186694
1796	0.7778986774
1797	0.7777669802
1798	-0.7500273441
1799	0.4044460708
1800	-0.621903362
1801	0.1717924732
1802	-1.07509283
1803	0.08473261533
1804	0.6473425709
1805	0.5191577551
1806	-1.108763317
1807	-0.8141157189
1808	-0.444578576
1809	-0.3026220051
1810	-0.4099331263
1811	-0.7432256708
1812	-1.05784247
1813	-0.4927113948
1814	-0.6686639253
1815	-0.5775602186
1816	0.6231472817
1817	-0.5732687744
1818	-0.01513298778
1819	-0.9274434521
1820	-0.3306120215
1821	0.2048416422
1822	-0.2746722529
1823	0.3974514699
1824	0.9431110663
1825	0.3234972578
1826	0.759893905
1827	0.1446957837
1828	0.3065790485
1829	-0.3890106137
1830	-0.6048827147
1831	1.079629491
1832	-0.6803087054
1833	1.306032321
1834	0.3032626253
1835	0.1581104931
1836	-0.3270268264
1837	-0.02732674086
1838	0.6353541273
1839	0.3321198939
1840	0.3918385651
1841	-0.5333209244
1842	0.4942448011
1843	0.6636422369
1844	0.3581405533
1845	-0.1081898405
1846	0.584670746
1847	-0.448640862
1848	-0.167198174
1849	-0.6904126101
1850	-0.1844339417
1851	-0.3387957606
1852	-0.426585355
1853	0.213078948
1854	-0.1741230059
1855	-0.3620982485
1856	-0.5270829915
1857	-0.3266924215
1858	-0.1678013498
1859	-0.9858439507
1860	-0.2206447646
1861	0.1023107296
1862	-0.895361577
1863	-0.5065675017
1864	0.04544340368
1865	-0.02600199856
1866	-0.5172963424
1867	-0.3551884203
1868	-0.3499466026
1869	0.004126786931
1870	-0.9183706836
1871	-0.4613405843
1872	-0.7954916621
1873	-0.5630749759
1874	-0.9677512559
1875	-0.6970892874
1876	-0.4697682858
1877	1.342796939
1878	0.6003412199
1879	-0.4298931071
1880	-0.4386609202
1881	0.2170421888
1882	-0.2842049169
1883	-0.1914096799
1884	0.3893317588
1885	0.4173059645
1886	-0.5746861168
1887	-0.4485451956
1888	0.7854724974
1889	-0.03921070543
1890	-1.120061485
1891	-0.05962514438
1892	-0.8923424505
1893	-1.243456314
1894	-0.9688432543
1895	0.2758670287
1896	0.5216773847
1897	0.05719625153
1898	-0.4884779616
1899	0.2691483944
1900	0.7768337391
1901	-0.02341494209
1902	0.6873765307
1903	0.1886489622
1904	0.08626076262
1905	0.9969982179
1906	0.2468181052
1907	-0.3003280287
1908	-0.4403635043
1909	-0.8146778052
1910	-0.9030911562
1911	-0.09668479466
1912	0.4295413767
1913	0.1482030142
1914	0.6014730677
1915	0.4980490167
1916	-0.7234922828
1917	-0.2539202219
1918	0.400697026
1919	0.750386653
1920	0.2556511652
1921	-0.3567581925
1922	-0.2499609855
1923	0.1490297612
1924	-0.2124477889
1925	0.273939349
1926	0.7712574554
1927	0.1031726426
1928	-0.01659710124
1929	0.3225280419
1930	0.8277017516
1931	0.75196916
1932	0.1053676675
1933	-0.541284115
1934	-0.3001666156
1935	-0.08850477199
1936	0.1971820828
1937	0.1704602196
1938	-0.207980281
1939	0.04812483457
1940	0.9641730129
1941	1.173292538
1942	-0.1619337961
1943	-0.4473506372
1944	-0.01394443064
1945	-0.4504049005
1946	-0.2479859612
1947	-0.1045260961
1948	0.02539242495
1949	-0.3372965631
1950	-0.9928202988
1951	0.1118367722
1952	-0.1273837645
1953	0.3757645849
1954	-0.585379231
1955	-1.018503195
1956	-0.7360334631
1957	0.4372023258
1958	0.4020081251
1959	0.007719527022
1960	-0.0401293169
1961	-0.006130609433
1962	-0.233964556
1963	0.4326870669
1964	-0.2499976137
1965	0.5863933995
1966	0.5017342226
1967	-0.2061212442
1968	0.07882243551
1969	0.4724061444
1970	-0.3115990838
1971	-0.8007994408
1972	0.4237462607
1973	-0.512528394
1974	-0.9445790706
1975	-0.8419110885
1976	-0.1826910704
1977	0.4178200082
1978	-0.07199644699
1979	0.4231636281
1980	0.3516887699
1981	-0.06284238935
